Name,SNR,EventRate(Hz)
C000,5.76587,0.0283319
C001,23.5598,0.0111106
C002,10.8004,0.0538862
C003,6.75455,0.0372204
C004,11.2281,0.0283319
C005,6.8565,0.0616636
C006,6.72651,0.0577749
C007,7.64207,0.0416646
C008,7.28792,0.0572194
C009,22.0549,0.0338872
C010,8.76732,0.0705521
C011,6.15696,0.0194435
C012,15.4805,0.0538862
C013,5.58901,0.0383314
C014,9.87085,0.123327
C015,14.6809,0.00611081
C016,9.41484,0.08944
C017,6.3008,0.0416646
C018,8.44186,0.0555528
C019,9.98459,0.0272209
C020,8.41328,0.0394425
C021,13.1641,0.0227767
C022,10.3446,0.0211101
C023,7.50083,0.019999
C024,9.73867,0.0266653
C025,9.68593,0.00999951
C026,7.14065,0.0338872
C027,13.3939,0.0416646
C028,7.54591,0.0416646
C029,5.99973,0.0477754
C030,6.09382,0.0322206
C031,5.4048,0.0299985
C032,14.951,0.0722186
C033,6.54412,0.0349983
C034,7.82843,0.0144437
C035,9.87097,0.0277764
C036,6.48067,0.0122216
C037,7.13454,0.018888
C038,5.34827,0.0433312
C039,8.29082,0.00555528
C040,4.00131,0.00611081
C041,7.34453,0.0177769
C042,7.3562,0.0244432
C043,4.51996,0.0272209
C044,5.31645,0.030554
C045,5.58947,0.0244432
C046,6.00493,0.112772
C047,6.50346,0.019999
C048,6.76522,0.0149993
C049,7.00031,0.0216656
C050,4.5938,0.00611081
C051,4.36011,0.00499975
C052,4.74708,0.0133327
C053,6.65515,0.00555528
C054,5.17359,0.018888
C055,5.5329,0.00333317
C056,5.22777,0.00722187
C057,5.07682,0.00277764
C058,4.33548,0.0149993
C059,4.86332,0.00277764
C060,4.70281,0.0116661
C061,5.67068,0.00611081
C062,6.78613,0.00499975
C063,4.84751,0.0177769
C064,6.87719,0.0249988
C065,4.70883,0.0172214
C066,4.6559,0.00499975
C067,4.65951,0.0111106
C068,5.74351,0.00833292
C069,8.60366,0.00444422
C070,4.55817,0.00833292
C071,4.71591,0.0233322
C072,3.85735,0.0127771
C073,4.9564,0.0149993
C074,5.71811,0.0211101
C075,3.66203,0.00499975
C076,4.08998,0.0138882
C077,5.04233,0.0144437
C078,3.79464,0.00277764
C079,3.70901,0.0288875
C080,5.15567,0.0149993
C081,4.16999,0.0122216
C082,3.59707,0.0444422
C083,3.97286,0.019999
C084,4.08558,0.0038887
C085,0,0
C086,3.62033,0.0322206
C087,5.1253,0.0038887
C088,4.3283,0.00166658
C089,2.44449,0.000555528
C090,3.48478,0.00111106
C091,3.99807,0.0249988
C092,2.99532,0.00999951
C093,3.79048,0.0283319
C094,2.74284,0.0038887
C095,4.22809,0.0144437
C096,3.06729,0.010555
C097,3.46237,0.102217
C098,6.47362,0.000555528
C099,3.44545,0.0149993
C100,2.1414,0.000555528
C101,3.20649,0.00722187
C102,3.1994,0.00555528
C103,2.91794,0.0116661
C104,0,0
C105,3.6948,0.00499975
C106,4.11609,0.00944398
C107,3.48742,0.0161103
C108,5.64236,0.00444422
C109,3.69588,0.0155548
C110,3.28355,0.0149993
C111,3.77086,0.00611081
C112,3.59125,0.00444422
C113,0,0
C114,5.57478,0.0111106
C115,4.03264,0.0211101
C116,3.91539,0.0149993
C117,3.64974,0.00666634
C118,3.6317,0.0116661
C119,5.94504,0.0116661
C120,4.16078,0.0038887
C121,4.9504,0.000555528
C122,3.62046,0.00777739
C123,3.11844,0.00166658
C124,3.49937,0.0194435
C125,4.89262,0.00166658
C126,4.1305,0.00999951
C127,3.52367,0.00166658
C128,4.09463,0.00166658
C129,3.01416,0.0038887
C130,3.48465,0.00499975
C131,5.83315,0.000555528
C132,3.00477,0.00277764
C133,0,0
C134,2.4139,0.00111106
C135,3.26613,0.0127771
C136,4.99089,0.00111106
C137,2.30276,0.00166658
C138,3.02623,0.00444422
C139,2.58717,0.00222211
C140,3.56325,0.00277764
C141,3.18384,0.00611081
C142,0,0
C143,2.55514,0.000555528
C144,2.50436,0.00222211
C145,4.86945,0.00833292
C146,3.83713,0.00277764
C147,0,0
C148,4.7809,0.0038887
C149,0,0
